"exp","algo","scale","hostname","idle","iowait","irq","nice","softirq","system","user","timestamp"
"exp2","als","gigantic","cluster-cin-w-1.c.spark-186801.internal",99.1882103159735,0.574497314849507,0,0,0,0.062445360309729,0.174847008867241,1513210891.20248
"exp2","als","gigantic","cluster-cin-w-3.c.spark-186801.internal",99.3627389728852,0.462326627514682,0,0,0,0.0374859427714607,0.137448456828689,1513210891.20354
"exp2","als","gigantic","cluster-cin-w-4.c.spark-186801.internal",99.0509490509491,0.711788211788212,0,0,0,0.0374625374625375,0.1998001998002,1513210891.20404
"exp2","als","gigantic","cluster-cin-w-2.c.spark-186801.internal",99.2503748125937,0.499750124937531,0,0,0,0.0624687656171914,0.187406296851574,1513210891.20439
"exp2","als","gigantic","cluster-cin-w-6.c.spark-186801.internal",99.3253373313343,0.487256371814093,0,0,0,0.0499750124937531,0.137431284357821,1513210891.20933
"exp2","als","gigantic","cluster-cin-w-0.c.spark-186801.internal",99.2753623188406,0.574712643678161,0,0,0,0.0499750124937531,0.0999500249875062,1513210891.21049
"exp2","als","gigantic","cluster-cin-w-5.c.spark-186801.internal",98.9135864135864,0.874125874125874,0,0,0,0.0374625374625375,0.174825174825175,1513210891.21349
"exp2","als","gigantic","cluster-cin-w-1.c.spark-186801.internal",99.5627186406797,0.0124937531234383,0,0,0.0124937531234383,0.249875062468766,0.162418790604698,1513210896.20817
"exp2","als","gigantic","cluster-cin-w-3.c.spark-186801.internal",99.9000624609619,0,0,0,0,0.0249843847595253,0.0749531542785759,1513210896.20908
"exp2","als","gigantic","cluster-cin-w-4.c.spark-186801.internal",99.7501873594804,0.024981264051961,0,0,0.0124906320259805,0.0999250562078441,0.112415688233825,1513210896.20966
"exp2","als","gigantic","cluster-cin-w-2.c.spark-186801.internal",99.4624328041005,0,0,0,0.0625078134766846,0.262532816602075,0.212526565820728,1513210896.21005
"exp2","als","gigantic","cluster-cin-w-6.c.spark-186801.internal",99.8251748251748,0.0124875124875125,0,0,0,0.04995004995005,0.112387612387612,1513210896.21495
"exp2","als","gigantic","cluster-cin-w-0.c.spark-186801.internal",95.6989247311828,0.0125031257814454,0,0,0.0250062515628907,0.775193798449612,3.48837209302326,1513210896.21602
"exp2","als","gigantic","cluster-cin-w-5.c.spark-186801.internal",99.6752435673245,0.0124906320259805,0,0,0.024981264051961,0.149887584311766,0.137396952285786,1513210896.21914
"exp2","als","gigantic","cluster-cin-w-1.c.spark-186801.internal",93.5011269722013,0.162784873528675,0,0,0.0125219133483596,0.964187327823691,5.35937891309792,1513210901.21366
